,Unnamed: 0.2,movieId,actor_1_gender,actor_2_gender,actor_1_name,actor_2_name,director_gender,director_name,Unnamed: 0.1,Unnamed: 0,adult,budget,genres,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,rating
10,28,902,2,2,Ron Perlman,Dominique Pinon,2,Jean-Pierre Jeunet,28,Fantasy,False,18000000,Fantasy,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,Procirep,France,1995-05-16,1738611.0,108.0,广州话 / 廣州話,The City of Lost Children,7.6,308.0,3.821982549684925
11,31,63,2,1,Bruce Willis,Madeleine Stowe,2,Terry Gilliam,31,Science Fiction,False,29500000,Science Fiction,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,Universal Pictures,United States of America,1995-12-29,168840000.0,129.0,English,Twelve Monkeys,7.4,2470.0,3.114120283899888
12,34,687,1,2,Susan Sarandon,Sean Penn,2,Tim Robbins,35,Drama,False,11000000,Drama,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,Havoc,United States of America,1995-12-29,39363635.0,122.0,English,Dead Man Walking,7.3,350.0,2.9950980392156863
13,43,577,1,2,Nicole Kidman,Matt Dillon,2,Gus Van Sant,44,Fantasy,False,20000000,Fantasy,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,The Rank Organisation,United States of America,1995-05-20,21284514.0,106.0,English,To Die For,6.7,177.0,2.8165413533834585
14,45,807,2,2,Brad Pitt,Morgan Freeman,2,David Fincher,46,Crime,False,33000000,Crime,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,New Line Cinema,United States of America,1995-09-22,327311859.0,127.0,English,Se7en,8.1,5915.0,3.278280542986425
15,48,629,2,2,Stephen Baldwin,Gabriel Byrne,2,Bryan Singer,49,Drama,False,6000000,Drama,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,Blue Parrot Productions,United States of America,1995-07-19,23341568.0,106.0,Español,The Usual Suspects,8.1,3334.0,3.155172413793104
16,60,2054,2,1,Richard Dreyfuss,Glenne Headly,2,Stephen Herek,61,Music,False,0,Music,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,Hollywood Pictures,United States of America,1995-12-29,106269971.0,137.0,English,Mr. Holland's Opus,6.9,115.0,2.703222204498325
17,68,755,2,2,George Clooney,Quentin Tarantino,2,Robert Rodriguez,69,Horror,False,19000000,Horror,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,A Band Apart,United States of America,1996-01-19,25836616.0,108.0,English,From Dusk Till Dawn,6.9,1644.0,3.375796178343949
18,79,400,2,2,Andy García,Christopher Lloyd,2,Gary Fleder,80,Drama,False,8000000,Drama,en,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,4.486179,Miramax Films,United States of America,1995-12-01,529766.0,116.0,English,Things to Do in Denver When You're Dead,6.7,87.0,2.5454545454545454
19,87,2086,2,1,Johnny Depp,Courtney Chase,2,John Badham,88,Crime,False,8169363,Crime,en,Nick of Time,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",6.848591,Paramount Pictures,United States of America,1995-11-22,8175346.0,90.0,English,Nick of Time,6.1,190.0,3.0730593607305936
20,102,688,1,2,Meryl Streep,Clint Eastwood,2,Clint Eastwood,103,Drama,False,24000000,Drama,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,Amblin Entertainment,United States of America,1995-05-28,182016617.0,135.0,English,The Bridges of Madison County,7.3,397.0,2.592657903174094
21,107,197,2,0,Mel Gibson,Catherine McCormack,2,Mel Gibson,108,Action,False,72000000,Action,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,Icon Entertainment International,United States of America,1995-05-24,210000000.0,177.0,English,Braveheart,7.7,3404.0,3.075221238938053
22,108,103,2,1,Robert De Niro,Cybill Shepherd,2,Martin Scorsese,109,Crime,False,1300000,Crime,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,Columbia Pictures Corporation,United States of America,1976-02-07,28262574.0,114.0,English,Taxi Driver,8.1,2632.0,3.273029045643153
23,122,2074,2,1,Ben Stiller,Patricia Arquette,2,David O. Russell,123,Comedy,False,7000000,Comedy,en,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.579088,Miramax Films,United States of America,1996-03-22,14702438.0,92.0,English,Flirting with Disaster,6.3,66.0,3.4792332268370605
24,133,5757,2,1,Dirk Shafer,Mary Stein,2,Dirk Shafer,135,Comedy,False,0,Comedy,en,Man of the Year,"First-time director Dirk Shafer also penned this raucous ""mockumentary,"" a blend of fact and fiction that re-creates his 1992 reign as Playgirl magazine's Centerfold of the Year. When Shafer chooses to keep the fact that he's gay a secret from the magazine's editors, he finds himself living the ultimate lie -- and incapable of giving female readers what they really want. Will he succumb to his lover's pressures to come out of the closet?",0.540436,[],United States of America,1995-09-15,209935.0,86.0,English,Man of the Year,3.8,2.0,1.6
25,144,568,2,2,Tom Hanks,Bill Paxton,2,Ron Howard,147,Drama,False,52000000,Drama,en,Apollo 13,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.",18.761467,Imagine Entertainment,United States of America,1995-06-30,355237933.0,140.0,English,Apollo 13,7.3,1637.0,3.551898734177215
26,147,414,2,2,Val Kilmer,Tommy Lee Jones,2,Joel Schumacher,150,Action,False,100000000,Action,en,Batman Forever,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.",13.321354,Warner Bros.,United Kingdom,1995-06-16,336529144.0,121.0,English,Batman Forever,5.2,1529.0,2.615926327193933
27,150,5894,2,2,Harvey Keitel,Lou Reed,2,Paul Auster,153,Comedy,False,2000000,Comedy,en,Blue in the Face,"Auggie runs a small tobacco shop in Brooklyn, New York. The whole neighborhood comes to visit him to buy cigarettes and have some small talk. During the movie Lou Reed tries to explain why he has to have a cut on his health insurance bill if he keeps smoking and Madonna acts as a Singing Telegram.",11.528147,Miramax Films,United States of America,1995-09-15,1275000.0,83.0,English,Blue in the Face,6.8,28.0,1.8333333333333333
28,152,8839,1,2,Christina Ricci,Bill Pullman,0,Brad Silberling,155,Fantasy,False,50000000,Fantasy,en,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",12.812539,Universal Pictures,United States of America,1995-05-26,287928194.0,100.0,English,Casper,6.0,1045.0,1.8035714285714288
29,155,8963,2,2,Denzel Washington,Gene Hackman,2,Tony Scott,158,Action,False,53000000,Action,en,Crimson Tide,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.",8.657365,Hollywood Pictures,United States of America,1995-05-12,157387195.0,116.0,English,Crimson Tide,7.0,508.0,2.624
30,156,26564,2,1,Robert Crumb,Aline Kominsky,0,Terry Zwigoff,159,Documentary,False,0,Documentary,en,Crumb,"This movie chronicles the life and times of R. Crumb. Robert Crumb is the cartoonist/artist who drew Keep On Truckin', Fritz the Cat, and played a major pioneering role in the genesis of underground comix. Through interviews with his mother, two brothers, wife, and ex-girlfriends, as well as selections from his vast quantity of graphic art, we are treated to a darkly comic ride through one man's subconscious mind.",3.620388,Superior Pictures,United States of America,1994-09-10,3174695.0,119.0,English,Crumb,7.6,71.0,3.624401913875598
31,157,8068,2,1,Antonio Banderas,Salma Hayek,2,Robert Rodriguez,160,Thriller,False,7000000,Thriller,en,Desperado,A gunslinger is embroiled in a war with a local drug runner.,6.950458,Columbia Pictures,United States of America,1995-08-25,25405445.0,104.0,English,Desperado,6.8,898.0,3.696428571428572
32,158,8512,2,2,Denzel Washington,Tom Sizemore,0,Carl Franklin,161,Drama,False,27000000,Drama,en,Devil in a Blue Dress,"In late 1940s Los Angeles, Easy Rawlins is an unemployed black World War II veteran with few job prospects. At a bar, Easy meets DeWitt Albright, a mysterious white man looking for someone to investigate the disappearance of a missing white woman named Daphne Monet, who he suspects is hiding out in one of the city's black jazz clubs. Strapped for money and facing house payments, Easy takes the job, but soon finds himself in over his head.",4.646132,TriStar Pictures,United States of America,1995-09-15,16140822.0,102.0,English,Devil in a Blue Dress,6.3,88.0,3.3027777777777776
33,159,1572,2,2,Bruce Willis,Jeremy Irons,2,John McTiernan,162,Action,False,90000000,Action,en,Die Hard: With a Vengeance,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.",15.138855,Twentieth Century Fox Film Corporation,United States of America,1995-05-19,366101666.0,128.0,English,Die Hard: With a Vengeance,6.9,2094.0,3.829846582984658
34,162,6520,2,2,Sean Connery,Richard Gere,2,Jerry Zucker,165,Action,False,55000000,Action,en,First Knight,"The timeless tale of King Arthur and the legend of Camelot are retold in this passionate period drama. Arthur is reluctant to hand the crown to Lancelot, and Guinevere is torn between her loyalty to her husband and her growing love for his rival. But Lancelot must balance his loyalty to the throne with the rewards of true love.",15.178338,Columbia Pictures Corporation,United States of America,1995-07-07,127600435.0,134.0,English,First Knight,5.9,319.0,3.0961538461538463
35,174,2293,2,2,Jason Lee,Jeremy London,2,Kevin Smith,177,Romance,False,6000000,Romance,en,Mallrats,"Both dumped by their girlfriends, two best friends seek refuge in the local mall.",8.25547,Universal Pictures,United States of America,1995-10-20,2122561.0,94.0,English,Mallrats,6.8,400.0,3.3505747126436782
36,179,1642,1,2,Sandra Bullock,Jeremy Northam,2,Irwin Winkler,182,Crime,False,22000000,Crime,en,The Net,"Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down. While on vacation in Mexico, her purse is stolen. She soon finds that people and events may not be what they seem as she becomes the target of an assassination. Her vacation is ruined.  She gets a new passport at the U.S. Embassy in Mexico but it has the wrong name, Ruth Marx. When she returns to the U.S. to sort things out, she discovers that Ruth Marx has an unsavory past and a lengthy  police record. To make matters worse, another person has assumed her real identity ...",13.304342,Columbia Pictures,United States of America,1995-07-28,110627965.0,114.0,English,The Net,5.6,359.0,3.078038674033149
37,191,281,2,1,Ralph Fiennes,Angela Bassett,1,Kathryn Bigelow,195,Crime,False,42000000,Crime,en,Strange Days,"Set in the year 1999 during the last days of the old millennium, the movie tells the story of Lenny Nero, an ex-cop who now deals with data-discs containing recorded memories and emotions. One day he receives a disc which contains the memories of a murderer killing a prostitute. Lenny investigates and is pulled deeper and deeper in a whirl of blackmail, murder and rape. Will he survive and solve the case?",11.223055,Lightstorm Entertainment,United States of America,1995-10-13,7959291.0,145.0,English,Strange Days,6.8,334.0,3.658512720156556
38,197,3512,2,2,Steven Seagal,Eric Bogosian,2,Geoff Murphy,201,Action,False,60000000,Action,en,Under Siege 2: Dark Territory,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",7.490247,Regency Enterprises,United States of America,1995-07-13,104324083.0,100.0,English,Under Siege 2: Dark Territory,5.6,217.0,3.5611729019211324
39,208,76,2,1,Ethan Hawke,Julie Delpy,2,Richard Linklater,212,Drama,False,2500000,Drama,en,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",11.304979,Detour Film Production,Austria,1995-01-27,5535405.0,105.0,English,Before Sunrise,7.7,984.0,3.016246953696182
40,215,2292,2,2,Brian O'Halloran,Jeff Anderson,2,Kevin Smith,219,Comedy,False,27000,Comedy,en,Clerks,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.",10.513367,Miramax Films,United States of America,1994-09-13,3151130.0,92.0,English,Clerks,7.4,769.0,2.9318181818181817
41,216,1909,2,2,Johnny Depp,Marlon Brando,2,Jeremy Leven,220,Romance,False,25000000,Romance,en,Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",7.438934,New Line Cinema,United States of America,1994-10-01,22200000.0,97.0,English,Don Juan DeMarco,6.3,184.0,3.325736793979039
42,217,8984,2,1,Michael Douglas,Demi Moore,2,Barry Levinson,221,Drama,False,55000000,Drama,en,Disclosure,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",11.812244,Warner Bros.,United States of America,1994-12-09,214015089.0,123.0,English,Disclosure,5.9,217.0,3.31019313304721
43,227,522,2,2,Johnny Depp,Martin Landau,2,Tim Burton,231,Comedy,False,18000000,Comedy,en,Ed Wood,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.",11.720358,Touchstone Pictures,United States of America,1994-09-27,5887457.0,127.0,English,Ed Wood,7.3,639.0,3.5474425500370645
44,238,1024,1,1,Melanie Lynskey,Kate Winslet,2,Peter Jackson,243,Drama,False,5000000,Drama,en,Heavenly Creatures,"Based on the true story of Juliet Hulme and Pauline Parker, two close friends who share a love of fantasy and literature, who conspire to kill Pauline's mother when she tries to end the girls' intense and obsessive relationship.",9.438042,WingNut Films,New Zealand,1994-09-02,3049135.0,99.0,English,Heavenly Creatures,6.9,299.0,3.1677880571909167
45,244,628,2,2,Brad Pitt,Tom Cruise,0,Neil Jordan,249,Horror,False,60000000,Horror,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,Geffen Pictures,United States of America,1994-11-11,223664608.0,123.0,English,Interview with the Vampire,7.2,1558.0,3.752637379940167
46,247,6280,2,2,Arnold Schwarzenegger,Danny DeVito,2,Ivan Reitman,252,Comedy,False,60000000,Comedy,en,Junior,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.",6.710215,Universal Pictures,United States of America,1994-11-22,37000000.0,109.0,English,Junior,4.7,381.0,2.8577586206896552
47,251,11,2,2,Mark Hamill,Harrison Ford,2,George Lucas,256,Adventure,False,11000000,Adventure,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,Lucasfilm,United States of America,1977-05-25,775398007.0,121.0,English,Star Wars,8.1,6778.0,3.660590500641848
48,263,3036,2,2,Robert De Niro,Kenneth Branagh,2,Kenneth Branagh,269,Drama,False,45000000,Drama,en,Frankenstein,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",14.287753,American Zoetrope,United Kingdom,1994-11-04,112006296.0,123.0,English,Mary Shelley's Frankenstein,6.1,272.0,3.2846715328467155
49,266,8986,1,2,Melanie Griffith,Ed Harris,2,Richard Benjamin,272,Comedy,False,0,Comedy,en,Milk Money,"Three young boys pool their money and pay V, a kindhearted prostitute, to strip for them. Afterward, she drives them home to the suburbs -- but then her car breaks down. It's just as well, though, because a mobster named Waltzer is after her, and V realizes the suburbs are the perfect place to hide. But things get a lot more complicated when V falls in love with Tom, a single father who is unaware of her real profession.",3.770115,Paramount Pictures,United States of America,1994-08-31,18137661.0,108.0,English,Milk Money,5.6,49.0,2.9885057471264367
50,272,1945,1,2,Jodie Foster,Liam Neeson,2,Michael Apted,278,Drama,False,31000000,Drama,en,Nell,"In a remote woodland cabin, a small town doctor discovers Nell - a beautiful young hermit woman with many secrets.",5.930957,Twentieth Century Fox Film Corporation,United States of America,1994-12-23,106683817.0,112.0,English,Nell,6.1,128.0,4.134570403867145
51,278,241,2,1,Woody Harrelson,Juliette Lewis,2,Oliver Stone,284,Crime,False,34000000,Crime,en,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,11.226856,Regency Enterprises,United States of America,1994-08-25,50282766.0,119.0,English,Natural Born Killers,6.9,927.0,3.0192629815745398
52,280,527,1,2,Rena Owen,Temuera Morrison,2,Lee Tamahori,286,Drama,False,0,Drama,en,Once Were Warriors,"A drama about a Maori family lving in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",4.025276,Avalon Studios,New Zealand,1994-09-02,2201126.0,99.0,English,Once Were Warriors,7.6,106.0,4.266530696698294
53,282,6950,2,1,Dustin Hoffman,Rene Russo,2,Wolfgang Petersen,288,Action,False,50000000,Action,en,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",13.676444,Kopelson Entertainment,United States of America,1995-03-10,189859560.0,127.0,English,Outbreak,6.4,522.0,3.1870794078061917
54,283,101,2,1,Jean Reno,Natalie Portman,2,Luc Besson,289,Thriller,False,16000000,Thriller,fr,Léon,"Leon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Leon's footsteps.",20.477329,Columbia Pictures,France,1994-09-14,45284974.0,110.0,English,Leon: The Professional,8.2,4293.0,3.776083800041485
55,286,680,2,2,John Travolta,Samuel L. Jackson,2,Quentin Tarantino,292,Thriller,False,8000000,Thriller,en,Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,Miramax Films,United States of America,1994-09-10,213928762.0,154.0,English,Pulp Fiction,8.3,8670.0,3.552969502407705
56,293,3586,2,1,Marcello Mastroianni,Sophia Loren,2,Robert Altman,301,Drama,False,15000000,Drama,en,Prêt-à-Porter,"Paris Fashion Week draws the usual bunch of people; designers, reporters, models, magazine editors, photographers. Follows the various storylines of these characters, centering around a murder investigation of a prominent fashion figure. Features an all-star cast.",6.259433,Miramax Films,United States of America,1994-12-23,11300653.0,133.0,Français,Prêt-à-Porter,5.3,33.0,3.4292035398230087
57,303,2636,2,1,Sylvester Stallone,Sharon Stone,2,Luis Llosa,311,Action,False,45000000,Action,en,The Specialist,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues.",10.388183,Jerry Weintraub Productions,Peru,1994-10-07,170362582.0,110.0,English,The Specialist,5.5,317.0,2.560240963855421
58,304,2164,2,2,Kurt Russell,James Spader,2,Roland Emmerich,312,Action,False,55000000,Action,en,Stargate,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",13.328924,Centropolis Entertainment,France,1994-10-27,196567262.0,121.0,English,Stargate,6.8,942.0,2.144396551724138
59,306,278,2,2,Tim Robbins,Morgan Freeman,2,Frank Darabont,314,Drama,False,25000000,Drama,en,The Shawshank Redemption,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,Castle Rock Entertainment,United States of America,1994-09-23,28341469.0,142.0,English,The Shawshank Redemption,8.5,8358.0,3.021646859083192
