,movie_id,actor_1_gender,actor_2_gender,actor_1_name,actor_2_name,director_gender,director_name,Unnamed: 0.1,Unnamed: 0,adult,budget,genres,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count
14,1408,1,2,Geena Davis,Matthew Modine,2,Renny Harlin,14,Action,False,98000000,Action,en,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",7.284477,Le Studio Canal+,France,1995-12-22,10017322.0,119.0,English,Cutthroat Island,5.7,137.0
15,524,2,1,Robert De Niro,Sharon Stone,2,Martin Scorsese,15,Drama,False,52000000,Drama,en,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,10.137389,Universal Pictures,France,1995-11-22,116112375.0,178.0,English,Casino,7.8,1343.0
16,4584,1,1,Kate Winslet,Emma Thompson,2,Ang Lee,16,Drama,False,16500000,Drama,en,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",10.673167,Columbia Pictures Corporation,United Kingdom,1995-12-13,135000000.0,136.0,English,Sense and Sensibility,7.2,364.0
17,5,2,2,Tim Roth,Antonio Banderas,1,Allison Anders,17,Crime,False,4000000,Crime,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,9.026586,Miramax Films,United States of America,1995-12-09,4300000.0,98.0,English,Four Rooms,6.5,539.0
18,9273,2,2,Jim Carrey,Ian McNeice,2,Steve Oedekerk,18,Crime,False,30000000,Crime,en,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",8.205448,O Entertainment,United States of America,1995-11-10,212385533.0,90.0,English,Ace Ventura: When Nature Calls,6.1,1128.0
19,11517,2,2,Wesley Snipes,Woody Harrelson,2,Joseph Ruben,19,Action,False,60000000,Action,en,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",7.337906,Columbia Pictures,United States of America,1995-11-21,35431113.0,103.0,English,Money Train,5.4,224.0
20,8012,2,2,John Travolta,Gene Hackman,2,Barry Sonnenfeld,20,Comedy,False,30250000,Comedy,en,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.669608,Jersey Films,United States of America,1995-10-20,115101622.0,105.0,English,Get Shorty,6.4,305.0
22,9691,2,2,Sylvester Stallone,Antonio Banderas,2,Richard Donner,22,Action,False,50000000,Action,en,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",11.065939,Silver Pictures,France,1995-10-06,30303072.0,132.0,English,Assassins,6.0,394.0
24,451,2,1,Nicolas Cage,Elisabeth Shue,2,Mike Figgis,24,Drama,False,3600000,Drama,en,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",10.332025,United Artists,United States of America,1995-10-27,49800000.0,112.0,English,Leaving Las Vegas,7.1,365.0
26,9263,1,0,Christina Ricci,Rosie O'Donnell,1,Lesli Linka Glatter,26,Comedy,False,12000000,Comedy,en,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",8.681325,New Line Cinema,United States of America,1995-10-20,27400000.0,100.0,English,Now and Then,6.6,91.0
28,902,2,2,Ron Perlman,Dominique Pinon,2,Jean-Pierre Jeunet,28,Fantasy,False,18000000,Fantasy,fr,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",9.822423,Procirep,France,1995-05-16,1738611.0,108.0,广州话 / 廣州話,The City of Lost Children,7.6,308.0
30,9909,1,2,Michelle Pfeiffer,George Dzundza,2,John N. Smith,30,Drama,False,0,Drama,en,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",9.481338,Hollywood Pictures,United States of America,1995-08-11,180000000.0,99.0,English,Dangerous Minds,6.4,249.0
31,63,2,1,Bruce Willis,Madeleine Stowe,2,Terry Gilliam,31,Science Fiction,False,29500000,Science Fiction,en,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",12.297305,Universal Pictures,United States of America,1995-12-29,168840000.0,129.0,English,Twelve Monkeys,7.4,2470.0
32,9598,1,1,Christine Cavanaugh,Miriam Margolyes,2,Chris Noonan,33,Fantasy,False,30000000,Fantasy,en,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",14.404764,Universal Pictures,Australia,1995-07-18,254134910.0,89.0,English,Babe,6.0,756.0
34,687,1,2,Susan Sarandon,Sean Penn,2,Tim Robbins,35,Drama,False,11000000,Drama,en,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,6.891317,Havoc,United States of America,1995-12-29,39363635.0,122.0,English,Dead Man Walking,7.3,350.0
38,34615,0,2,James Earl Jones,Charles S. Dutton,0,Darrell James Roodt,39,Drama,False,0,Drama,en,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,0.894647,Miramax,South Africa,1995-12-15,676525.0,106.0,English,"Cry, the Beloved Country",6.7,13.0
42,9312,2,0,Christopher Lambert,Robin Shou,2,Paul W.S. Anderson,43,Action,False,18000000,Action,en,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",10.870138,New Line Cinema,United States of America,1995-08-18,122195920.0,101.0,English,Mortal Kombat,5.4,452.0
43,577,1,2,Nicole Kidman,Matt Dillon,2,Gus Van Sant,44,Fantasy,False,20000000,Fantasy,en,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",10.448481,The Rank Organisation,United States of America,1995-05-20,21284514.0,106.0,English,To Die For,6.7,177.0
44,11861,1,1,Winona Ryder,Anne Bancroft,1,Jocelyn Moorhouse,45,Drama,False,10000000,Drama,en,How To Make An American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",4.485958,Universal Pictures,United States of America,1995-10-06,23574130.0,116.0,English,How To Make An American Quilt,6.5,38.0
45,807,2,2,Brad Pitt,Morgan Freeman,2,David Fincher,46,Crime,False,33000000,Crime,en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",18.45743,New Line Cinema,United States of America,1995-09-22,327311859.0,127.0,English,Se7en,8.1,5915.0
46,10530,1,2,Irene Bedard,Mel Gibson,2,Mike Gabriel,47,Adventure,False,55000000,Adventure,en,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",13.280069,Walt Disney Pictures,United States of America,1995-06-14,346079773.0,81.0,English,Pocahontas,6.7,1509.0
48,629,2,2,Stephen Baldwin,Gabriel Byrne,2,Bryan Singer,49,Drama,False,6000000,Drama,en,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",16.302466,Blue Parrot Productions,United States of America,1995-07-19,23341568.0,106.0,Español,The Usual Suspects,8.1,3334.0
50,11448,2,1,Woody Allen,Mira Sorvino,2,Woody Allen,51,Comedy,False,15000000,Comedy,en,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",15.899134,Miramax Films,United States of America,1995-09-13,6700000.0,95.0,English,Mighty Aphrodite,6.7,145.0
55,9089,1,2,Holly Hunter,Robert Downey Jr.,1,Jodie Foster,56,Comedy,False,0,Comedy,en,Home for the Holidays,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",8.416802,Paramount Pictures,United States of America,1995-11-02,17519169.0,103.0,English,Home for the Holidays,6.3,39.0
60,2054,2,1,Richard Dreyfuss,Glenne Headly,2,Stephen Herek,61,Music,False,0,Music,en,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",7.137117,Hollywood Pictures,United States of America,1995-12-29,106269971.0,137.0,English,Mr. Holland's Opus,6.9,115.0
64,11525,2,2,Patrick Bergin,Matt Frewer,2,Farhad Mann,65,Action,False,0,Action,en,Lawnmower Man 2: Beyond Cyberspace,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",2.49535,New Line Cinema,United States of America,1996-01-12,2409225.0,92.0,English,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0
67,10634,2,2,Ice Cube,Chris Tucker,2,F. Gary Gray,68,Comedy,False,3500000,Comedy,en,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",14.56965,New Line Cinema,United States of America,1995-04-26,28215918.0,91.0,English,Friday,7.0,513.0
68,755,2,2,George Clooney,Quentin Tarantino,2,Robert Rodriguez,69,Horror,False,19000000,Horror,en,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,A Band Apart,United States of America,1996-01-19,25836616.0,108.0,English,From Dusk Till Dawn,6.9,1644.0
69,11859,2,1,William Baldwin,Cindy Crawford,2,Andrew Sipes,70,Action,False,50000000,Action,en,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",5.912223,Silver Pictures,United States of America,1995-11-03,11534477.0,91.0,English,Fair Game,4.1,54.0
70,28387,2,1,Josh Hamilton,Olivia d'Abo,2,Noah Baumbach,71,Comedy,False,0,Comedy,en,Kicking and Screaming,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",3.367276,Castleberg Productions,United States of America,1995-10-06,718490.0,96.0,English,Kicking and Screaming,7.0,36.0
72,20927,2,1,Christian Slater,Mary Stuart Masterson,2,Michael Goldenberg,73,Drama,False,0,Drama,en,Bed of Roses,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",10.412194,New Line Cinema,United States of America,1996-01-26,19030691.0,87.0,English,Bed of Roses,5.1,27.0
73,36929,2,2,Rick Moranis,Tom Arnold,2,Steve Miner,74,Comedy,False,15000000,Comedy,en,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",2.936443,Warner Bros.,United States of America,1996-01-26,2042530.0,90.0,English,Big Bully,3.9,16.0
74,9102,2,2,Peter Weller,Roy Dupuis,2,Christian Duguay,75,Horror,False,20000000,Horror,en,Screamers,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",12.758848,The Movie Network (TMN),Canada,1995-09-08,5781885.0,108.0,English,Screamers,6.1,154.0
79,400,2,2,Andy García,Christopher Lloyd,2,Gary Fleder,80,Drama,False,8000000,Drama,en,Things to Do in Denver When You're Dead,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,4.486179,Miramax Films,United States of America,1995-12-01,529766.0,116.0,English,Things to Do in Denver When You're Dead,6.7,87.0
84,10534,2,1,Jeff Bridges,Caroline Goodall,2,Ridley Scott,85,Action,False,38000000,Action,en,White Squall,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,9.568604,Hollywood Pictures,United States of America,1996-02-02,10300000.0,129.0,Dansk,White Squall,6.3,86.0
86,13997,2,2,Chris Farley,David Spade,0,Penelope Spheeris,87,Comedy,False,0,Comedy,en,Black Sheep,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",8.963037,Paramount Pictures,United States of America,1996-02-01,32.0,87.0,English,Black Sheep,6.0,124.0
87,2086,2,1,Johnny Depp,Courtney Chase,2,John Badham,88,Crime,False,8169363,Crime,en,Nick of Time,"Gene Watson is a public accountant who arrives on a train at Union Station in Los Angeles, accompanied by his 6-year-old daughter Lynn. Because of his ordinary looks, he is approached by a pair of sinister people named Smith and Jones.",6.848591,Paramount Pictures,United States of America,1995-11-22,8175346.0,90.0,English,Nick of Time,6.1,190.0
89,9095,1,2,Julia Roberts,John Malkovich,0,Stephen Frears,90,Drama,False,47000000,Drama,en,Mary Reilly,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",12.866139,TriStar Pictures,United States of America,1996-02-23,12379402.0,104.0,English,Mary Reilly,5.7,77.0
90,12158,2,1,Eddie Murphy,Angela Bassett,2,Wes Craven,91,Comedy,False,14000000,Comedy,en,Vampire in Brooklyn,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",9.071127,Paramount Pictures,United States of America,1995-10-26,19800000.0,100.0,English,Vampire in Brooklyn,4.5,113.0
92,9208,2,2,John Travolta,Christian Slater,2,John Woo,93,Action,False,50000000,Action,en,Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",14.957626,Twentieth Century Fox Film Corporation,United States of America,1996-02-09,150270147.0,108.0,English,Broken Arrow,5.7,459.0
98,13685,2,2,Luke Wilson,Owen Wilson,2,Wes Anderson,99,Comedy,False,7000000,Comedy,en,Bottle Rocket,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",6.904831,Gracie Films,United States of America,1996-02-21,560069.0,91.0,Español,Bottle Rocket,6.8,285.0
101,9614,2,2,Adam Sandler,Ben Stiller,2,Dennis Dugan,102,Comedy,False,12000000,Comedy,en,Happy Gilmore,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",9.592265,Universal Pictures,United States of America,1996-02-16,41205099.0,92.0,English,Happy Gilmore,6.5,767.0
102,688,1,2,Meryl Streep,Clint Eastwood,2,Clint Eastwood,103,Drama,False,24000000,Drama,en,The Bridges of Madison County,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,5.951077,Amblin Entertainment,United States of America,1995-05-28,182016617.0,135.0,English,The Bridges of Madison County,7.3,397.0
104,10874,2,2,Tim Curry,Kevin Bishop,2,Brian Henson,105,Action,False,0,Action,en,Muppet Treasure Island,"After telling the story of Flint's last journey to young Jim Hawkins, Billy Bones has a heart attack and dies just as Jim and his friends are attacked by pirates. The gang escapes into the town where they hire out a boat and crew to find the hidden treasure, which was revealed by Bones before he died. On their voyage across the seas, they soon find out that not everyone on board can be trusted.",6.902423,Walt Disney Pictures,United States of America,1996-02-16,34327391.0,100.0,English,Muppet Treasure Island,6.5,93.0
107,197,2,0,Mel Gibson,Catherine McCormack,2,Mel Gibson,108,Action,False,72000000,Action,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",20.755149,Icon Entertainment International,United States of America,1995-05-24,210000000.0,177.0,English,Braveheart,7.7,3404.0
108,103,2,1,Robert De Niro,Cybill Shepherd,2,Martin Scorsese,109,Crime,False,1300000,Crime,en,Taxi Driver,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",14.092713,Columbia Pictures Corporation,United States of America,1976-02-07,28262574.0,114.0,English,Taxi Driver,8.1,2632.0
109,33542,2,0,Jackie Chan,Anita Mui,2,Stanley Tong,110,Crime,False,7500000,Crime,cn,紅番區,"Keong comes from Hong Kong to visit New York for his uncle's wedding. His uncle runs a market in the Bronx and Keong offers to help out while Uncle is on his honeymoon. During his stay in the Bronx, Keong befriends a neighbor kid and beats up some neighborhood thugs who cause problems at the market. One of those petty thugs in the local gang stumbles into a criminal situation way over his head.",12.314278,New Line Cinema,Hong Kong,1995-01-30,32392047.0,91.0,广州话 / 廣州話,Rumble in the Bronx,6.5,245.0
113,51352,2,1,Kenneth Branagh,Glenn Close,0,Jon Blair,114,Documentary,False,0,Documentary,en,Anne Frank Remembered,"Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first fully-rounded portrait of their brash and free-spirited daughter Anne, perhaps the world's most famous victim of the Holocaust. Written by Dawn M. Barclift",0.243986,[],United Kingdom,1995-06-08,1.0,117.0,English,Anne Frank Remembered,7.3,4.0
116,78406,2,2,Andy García,Alan Arkin,2,Andrew Davis,117,Comedy,False,25000000,Comedy,en,Steal Big Steal Little,"Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So when Mona leaves her fortune and estate to Ruben it starts a battle between brothers that soon leads to madness, mayhem, and even attempted murder. On Ruben's side is Lou Perilli an ex-Chicago cop and used car dealer who knows the law - and how to get around it. On Robby's side is ruthless businessman Reed Tyler, who is out to turn a swift profit on Mona's property. Walking a shifty line between them is Eddie Agopian, the family lawyer, who doesn't care which side wins as long as he's on the winner's side. But whether they're stealing big or stealing little, they're all stealing in this hilarious comedy about greed, power... and brotherly love.",1.522412,Savoy Pictures,United States of America,1995-09-29,6278139.0,113.0,English,Steal Big Steal Little,5.1,7.0
119,11066,2,1,Eddie Murphy,Robin Givens,2,Reginald Hudlin,120,Comedy,False,40000000,Comedy,en,Boomerang,"Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.",6.506983,Paramount Pictures,United States of America,1992-06-30,70100000.0,117.0,Français,Boomerang,5.4,139.0
122,2074,2,1,Ben Stiller,Patricia Arquette,2,David O. Russell,123,Comedy,False,7000000,Comedy,en,Flirting with Disaster,"Adopted as a child, new father Mel Colpin (Ben Stiller) decides he cannot name his son until he knows his birth parents, and determines to make a cross-country quest to find them. Accompanied by his wife, Nancy (Patricia Arquette), and an inept yet gorgeous adoption agent, Tina (Tea Leoni), he departs on an epic road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous and love-struck ATF agents (Josh Brolin, Richard Jenkins).",5.579088,Miramax Films,United States of America,1996-03-22,14702438.0,92.0,English,Flirting with Disaster,6.3,66.0
128,11863,2,1,David Caruso,Linda Fiorentino,0,William Friedkin,130,Action,False,50000000,Action,en,Jade,"Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.",11.418917,Paramount Pictures,United States of America,1995-10-13,9851610.0,95.0,English,Jade,5.1,45.0
